features.properties.@id,Amenity_name,Latitude,Longitude,Terrace_Status
way/1192748733,Dori Dori,"41,4489893","1,9693168",
way/1194531479,El secreto,"41,4489069","1,9687284",
way/1200964257,Chiringuito Joan Miro,"41,3789977","2,1478116",
way/1217511088,Petanca de Tiana,"41,4858644","2,2690944",
way/1242253029,Tirati Tiriti,"41,4820418","2,2688531",
node/1264182304,Tosca del Carme,"41,3819482","2,1695795",
node/1280416455,Carballeira,"41,4442679","2,2217701",
way/1300745688,La Casona de Sant Just,"41,3833348","2,0735139",
node/1305366218,Bar Teo,"4,1393729","0,2149521",
node/1310450869,El Filete Ruso,"41,3925451","2,1558968",
node/1312325106,La Palmera,"41,4144229","2,1385123",
node/1314943380,Mescladís del Pou,"41,3870865","2,1803497",
node/1335697982,null,"41,3608771","2,1101417",
way/1338355770,Papüa Café,"41,5997958","2,2747415",
way/1368167814,Natura Beach. El Chiringuito,"41,4028929","2,2157443",
node/1375786538,Cafè 85ºC,"41,3810563","2,0456731",
way/1396305322,Restaurant Collsacreu,"41,6264822","0,2528568",
node/1420760625,Tapeo,"41,4044988","2,1554811",
node/1420760630,Diamant,"41,4042174","2,1555899",
way/1421520048,null,"42,0261923","1,8877424",
node/1428867664,Café Berlin,"41,3943566","2,1494599",
node/1430537485,Oasis Restaurant,"41,3827219","2,1847191",
node/1445598557,Bracafe,"41,3948025","2,1817533",
node/1445598561,Contracorrent,"41,3955456","0,2181968",
node/1467027609,Yakumanka,"41,3902658","0,0215992",
node/1554649942,Torrades,"41,4375721","2,1566095",
node/1554649988,La Panera,"41,4374756","2,1563359",
node/1629007967,Masia Can Jonqueres,"41,5696239","2,1018584",
node/1643207884,Tostaderos Bon Mercat,"4,1383572","2,1777123",
node/1655774374,Restaurant Rectorat,"41,5042388","2,1010467",
node/1658425572,Rebeka,"41,3967185","2,1890325",
node/1676887354,Ciudadela,"41,3894426","0,2183741",
node/1685949861,Cerveceria Milenium 2,"41,3534566","2,0866307",
node/1711342192,Calero's Centre,"41,3744728","2,1349721",
node/1722136431,Cervecería Catalana,"41,3924032","2,1609008",
node/1739122591,La Tagliatella,"41,3943371","2,1521208",
node/1813593370,Bar Capricornio,"41,4381257","2,2179547",
node/1816141992,Bosco,"41,3852432","0,2174473",
node/1820633320,CASA TEVA,"41,3752815","2,1166845",
node/1824133931,Carmesí,"41,3737373","2,1644452",
node/1834280845,Zona,"41,6368076","2,7167216",
node/1879180984,La Prodigiosa,"42,1019116","0,0229456",
node/1948912981,Corgi Cafe,"41,3886058","0,2181614",
node/1948935061,Taverna Blai Tonight,"41,3735656","0,2164687",
node/1948986220,Cafeteria UPF Jaume I,"41,3900298","2,1901118",
node/1948987514,Cafeteria UPF Roger de Lluria,"41,3886776","2,1915119",
node/1951812612,Casa Pagès,"41,3998447","2,1613114",
node/1960366982,Casa Amalia,"41,3962525","2,1685646",
node/1960381242,Café Caracas,"4,1397034","2,1679041",
node/1981780957,Restaurant Hofmann,"4,1397162","2,1530322",
node/1984001407,Bar de la FIB,"41,3894239","2,1132363",
node/2023079012,Tasta'm,"41,3510399","2,0312312",
